route,type,html_exists,canonical,canonical_ok,robots,robots_ok,h1_count,h1,v2_shell,design_lab_links,duplicate_ids,broken_media,status,notes
/ulichnaya-mebel/navesy/ekran-s-navesom/,product,true,/ulichnaya-mebel/navesy/ekran-s-navesom/,true,"index, follow",true,1,Экран с навесом,true,0,0,0,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/,product,true,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/,true,"index, follow",true,1,Фонарь Линия,true,0,0,0,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/,product,true,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/,true,"index, follow",true,1,Фонарь Маяк,true,0,0,0,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/,product,true,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/,true,"index, follow",true,1,Фонарь Призма,true,0,0,0,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/,product,true,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/,true,"index, follow",true,1,Фонарь Сектор,true,0,0,0,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/,product,true,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/,true,"index, follow",true,1,Фонарь Вектор высокий,true,0,0,0,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/,product,true,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor/,true,"index, follow",true,1,Фонарь Вектор,true,0,0,0,pass,
/ulichnaya-mebel/kacheli/kachel-duga/,product,true,/ulichnaya-mebel/kacheli/kachel-duga/,true,"index, follow",true,1,Качель Дуга,true,0,0,0,pass,
/ulichnaya-mebel/kacheli/kachel-patio/,product,true,/ulichnaya-mebel/kacheli/kachel-patio/,true,"index, follow",true,1,Качель Патио,true,0,0,0,pass,
/ulichnaya-mebel/kacheli/kachel-portal/,product,true,/ulichnaya-mebel/kacheli/kachel-portal/,true,"index, follow",true,1,Качель Портал,true,0,0,0,pass,
/ulichnaya-mebel/kacheli/kachel-s-navesom/,product,true,/ulichnaya-mebel/kacheli/kachel-s-navesom/,true,"index, follow",true,1,Качель с навесом,true,0,0,0,pass,
/ulichnaya-mebel/kacheli/kacheli-pergola/,product,true,/ulichnaya-mebel/kacheli/kacheli-pergola/,true,"index, follow",true,1,Качели Пергола,true,0,0,0,pass,
/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/,product,true,/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/,true,"index, follow",true,1,Качели с длинным навесом,true,0,0,0,pass,
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/,product,true,/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/,true,"index, follow",true,1,Контейнерная площадка Дуо,true,0,0,0,pass,
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/,product,true,/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-modul/,true,"index, follow",true,1,Контейнерная площадка Модуль,true,0,0,0,pass,
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/,product,true,/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/,true,"index, follow",true,1,Контейнерная площадка закрытая,true,0,0,0,pass,
/ulichnaya-mebel/navesy/naves-galereya/,product,true,/ulichnaya-mebel/navesy/naves-galereya/,true,"index, follow",true,1,Навес Галерея,true,0,0,0,pass,
/ulichnaya-mebel/navesy/naves-terra/,product,true,/ulichnaya-mebel/navesy/naves-terra/,true,"index, follow",true,1,Навес Терра,true,0,0,0,pass,
/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/,product,true,/ulichnaya-mebel/veloparkovki/parkovka-dlya-samokatov-arka/,true,"index, follow",true,1,Парковка для самокатов Арка,true,0,0,0,pass,
/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/,product,true,/ulichnaya-mebel/besedki-i-pergoly/pergola-lamel/,true,"index, follow",true,1,Пергола Ламель,true,0,0,0,pass,
/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/,product,true,/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/,true,"index, follow",true,1,Пергола с лавкой,true,0,0,0,pass,
/ulichnaya-mebel/shezlongi/shezlong-dyuna/,product,true,/ulichnaya-mebel/shezlongi/shezlong-dyuna/,true,"index, follow",true,1,Шезлонг Дюна,true,0,0,0,pass,
/ulichnaya-mebel/shezlongi/shezlong-siluet/,product,true,/ulichnaya-mebel/shezlongi/shezlong-siluet/,true,"index, follow",true,1,Шезлонг Силуэт,true,0,0,0,pass,
/ulichnaya-mebel/shezlongi/shezlong-vitok/,product,true,/ulichnaya-mebel/shezlongi/shezlong-vitok/,true,"index, follow",true,1,Шезлонг Виток,true,0,0,0,pass,
/ulichnaya-mebel/shezlongi/shezlong-volna/,product,true,/ulichnaya-mebel/shezlongi/shezlong-volna/,true,"index, follow",true,1,Шезлонг Волна,true,0,0,0,pass,
/ulichnaya-mebel/malye-elementy/sidenie-kub/,product,true,/ulichnaya-mebel/malye-elementy/sidenie-kub/,true,"index, follow",true,1,Сиденье Куб,true,0,0,0,pass,
/ulichnaya-mebel/malye-elementy/sidenie-pilon/,product,true,/ulichnaya-mebel/malye-elementy/sidenie-pilon/,true,"index, follow",true,1,Сиденье Пилон,true,0,0,0,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/,product,true,/ulichnaya-mebel/lavochki-i-skameyki/skamya-bulvar/,true,"index, follow",true,1,Скамья Бульвар,true,0,0,0,pass,
