kind,sequence,source_route,target_route,route_type,viewport,initial_scroll_y,final_scroll_y,expected_scroll_y,hash,history_action,status,notes
direct,49,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/,product,1440x900,0,0,0,,,pass,after-media=0
direct,50,,/ulichnaya-mebel/urny/urna-monolit/,product,1440x900,0,0,0,,,pass,after-media=0
direct,51,,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/,product,1440x900,0,0,0,,,pass,after-media=0
direct,52,,/ulichnaya-mebel/shezlongi/shezlong-dyuna/,product,1440x900,0,0,0,,,pass,after-media=0
direct,53,,/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/,product,1440x900,0,0,0,,,pass,after-media=0
direct,54,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/,product,1440x900,0,0,0,,,pass,after-media=0
direct,55,,/ulichnaya-mebel/veloparkovki/veloparkovka-pik/,product,1440x900,0,0,0,,,pass,after-media=0
direct,56,,/ulichnaya-mebel/kacheli/kacheli-pergola/,product,1440x900,0,0,0,,,pass,after-media=0
direct,57,,/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/,product,1440x900,0,0,0,,,pass,after-media=0
direct,58,,/ulichnaya-mebel/navesy/naves-galereya/,product,1440x900,0,0,0,,,pass,after-media=0
direct,59,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/,product,1440x900,0,0,0,,,pass,after-media=0
direct,60,,/ulichnaya-mebel/urny/urna-panel/,product,1440x900,0,0,0,,,pass,after-media=0
direct,61,,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/,product,1440x900,0,0,0,,,pass,after-media=0
direct,62,,/ulichnaya-mebel/shezlongi/shezlong-vitok/,product,1440x900,0,0,0,,,pass,after-media=0
direct,63,,/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/,product,1440x900,0,0,0,,,pass,after-media=0
direct,64,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/,product,1440x900,0,0,0,,,pass,after-media=0
direct,65,,/ulichnaya-mebel/veloparkovki/veloparkovka-duga/,product,1440x900,0,0,0,,,pass,after-media=0
direct,66,,/ulichnaya-mebel/kacheli/kachel-s-navesom/,product,1440x900,0,0,0,,,pass,after-media=0
direct,67,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius/,product,1440x900,0,0,0,,,pass,after-media=0
direct,68,,/ulichnaya-mebel/urny/urna-blok/,product,1440x900,0,0,0,,,pass,after-media=0
direct,69,,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-mayak/,product,1440x900,0,0,0,,,pass,after-media=0
direct,70,,/ulichnaya-mebel/shezlongi/shezlong-siluet/,product,1440x900,0,0,0,,,pass,after-media=0
direct,71,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-soft/,product,1440x900,0,0,0,,,pass,after-media=0
direct,72,,/ulichnaya-mebel/veloparkovki/veloparkovka-pilon/,product,1440x900,0,0,0,,,pass,after-media=0
direct,73,,/ulichnaya-mebel/kacheli/kacheli-s-dlinnym-navesom/,product,1440x900,0,0,0,,,pass,after-media=0
direct,74,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-radius-so-spinkami/,product,1440x900,0,0,0,,,pass,after-media=0
direct,75,,/ulichnaya-mebel/urny/urna-kolonna/,product,1440x900,0,0,0,,,pass,after-media=0
direct,76,,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-prizma/,product,1440x900,0,0,0,,,pass,after-media=0
direct,77,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-lenta/,product,1440x900,0,0,0,,,pass,after-media=0
direct,78,,/ulichnaya-mebel/veloparkovki/veloparkovka-ramka/,product,1440x900,0,0,0,,,pass,after-media=0
direct,79,,/ulichnaya-mebel/kacheli/kachel-patio/,product,1440x900,0,0,0,,,pass,after-media=0
direct,80,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya-so-spinkami/,product,1440x900,0,0,0,,,pass,after-media=0
direct,81,,/ulichnaya-mebel/urny/urna-profil/,product,1440x900,0,0,0,,,pass,after-media=0
direct,82,,/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-liniya/,product,1440x900,0,0,0,,,pass,after-media=0
direct,83,,/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-oval/,product,1440x900,0,0,0,,,pass,after-media=0
direct,84,,/ulichnaya-mebel/lavochki-i-skameyki/skamya-kontur/,product,1440x900,0,0,0,,,pass,after-media=0
