route,route_type,mode,viewport,reveal_count,immersive_stage_count,rendered_count,pending_count,opacity_zero_count,hidden_count,scroll_before,scroll_after,reduced_motion,scroll_behavior,status,notes
/ulichnaya-mebel/veloparkovki/veloparkovka-marker/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/kacheli/kachel-duga/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-zakrytaya/,product,normal-final,1440x900,17,0,17,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/navesy/naves-terra/,product,normal-final,1440x900,17,0,17,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/besedki-i-pergoly/pergola-s-lavkoy/,product,normal-final,1440x900,18,0,18,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/malye-elementy/sidenie-kub/,product,normal-final,1440x900,16,0,16,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-volna/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-monolit/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-vektor-vysokiy/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/shezlongi/shezlong-dyuna/,product,normal-final,1440x900,18,0,18,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/besedki-i-pergoly/besedka-kofe/,product,normal-final,1440x900,18,0,18,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-koltso/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/veloparkovki/veloparkovka-pik/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/kacheli/kacheli-pergola/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ograzhdeniya-i-zabory/ograzhdeniya-kontejnernyh-ploshchadok/konteynernaya-ploshchadka-duo/,product,normal-final,1440x900,17,0,17,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/navesy/naves-galereya/,product,normal-final,1440x900,17,0,17,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/lavochki-i-skameyki/skamya-liniya/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/urny/urna-panel/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/ulichnoe-osveshchenie/fonar-sektor/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/shezlongi/shezlong-vitok/,product,normal-final,1440x900,18,0,18,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/besedki-i-pergoly/besedka-kub/,product,normal-final,1440x900,18,0,18,0,0,0,0,0,false,smooth,pass,
/ulichnaya-mebel/vazony-i-tsvetochnitsy/vazon-gorizont/,product,normal-final,1440x900,19,0,19,0,0,0,0,0,false,smooth,pass,
